Island,Site,Habitat,Density,Date,Sex,Mass,SVL,HeadWidth,HeadDepth,HeadLength,FemurLength,TibiaLength,BicepLength,ForearmLength,CEWLbt,CEWL,msmt_temp_C,msmt_RH_percent,msmt_e_a_kPa,msmt_VPD_kPa,ambient_percent_rh,ambient_temp,percent_veg_cover
Naxos,Filoti Valley,nonwall,6,2023.06.12,M,5.7,57.19,8.55,6.97,15,12.48,9.85,7.66,6.62,,,,,,,44,26.1,40
Naxos,Filoti Valley,nonwall,6,2023.06.12,M,7.4,60.06,8.94,8.03,16.06,14.95,11,7.34,7.31,,,,,,,46.2,27,61
Naxos,Filoti Valley,nonwall,6,2023.06.12,M,8.1,63.98,9.22,7.26,16.4,14.33,11.05,8.4,7.33,,,,,,,40.1,26.9,20
Naxos,Filoti Valley,nonwall,6,2023.06.12,M,7.9,65.4,9.61,8.21,16.54,14.25,10.13,7.42,6.9,,,,,,,40.7,25.8,48
Naxos,Filoti Valley,nonwall,6,2023.06.12,M,8.8,68.81,9.59,8.6,16.4,14.85,10.73,7.23,7.3,29.1,18.246,29.2,44.26,1.792965045,2.258017885,43.6,25.6,33
Naxos,Glynado,wall,9,2023.05.29,M,7.1,62.1,8.51,6.39,15.34,14.03,10.37,6.44,7.15,,,,,,,71.2,24.8,11
Naxos,Glynado,wall,9,2023.05.29,M,6.3,64.98,9.15,5.66,15.69,13.13,10.47,6.62,7.25,,,,,,,68.7,25,5
Naxos,Glynado,wall,9,2023.05.29,M,5.8,63.16,7.19,5.64,14.71,12.74,10.4,6.59,7.75,,,,,,,68.3,24.5,19
Naxos,Glynado,wall,9,2023.05.30,M,6.3,64.06,8.91,6.47,15.37,13.06,9.75,7.06,7.6,,,,,,,66.9,25.3,0
Naxos,Glynado,wall,9,2023.05.30,M,7.2,65.68,8.84,7.25,16.25,14.41,10.5,8.08,9.53,,,,,,,69.2,25.1,24
Naxos,Glynado,wall,9,2023.05.30,M,5.5,58.76,8.81,7.69,14.93,12.51,9.6,5.9,7.34,,,,,,,66.2,24.5,29
Naxos,Glynado,wall,9,2023.05.30,M,7.1,61.1,8.41,9.46,15.51,13.73,10.25,6.89,7.38,,,,,,,68.5,25.2,24
Naxos,Glynado,wall,9,2023.05.30,M,5.8,61.57,8.83,6.51,14.75,12.4,9.63,6.78,7.06,,,,,,,70.5,24.9,2
Naxos,Glynado,wall,9,2023.05.30,M,4.8,57.35,7.06,7.07,14.45,10.7,9.11,6.18,7.15,,,,,,,73.2,26.3,4
Naxos,Glynado,wall,9,2023.06.03,M,8.1,63.95,9.66,7.73,16.99,15.06,11.68,7.2,6.9,30.4,21.27666667,29.5,43.53333333,1.794328794,2.327406568,67,24.2,0
Naxos,Glynado,wall,9,2023.06.03,M,7.5,64.25,9.19,7.3,16.14,15.3,10.29,7.38,7.31,29.3,23.50666667,28.86666667,46.5,1.847730141,2.125883065,67.6,25.5,0
Naxos,Melanes,wall,16,2023.06.03,F,4.1,58.42,6.17,4.97,13.11,10.17,7.25,6.11,5.14,29,22.372,29.06,42.66,1.714219208,2.304109924,55.5,23.5,13
Naxos,Melanes,wall,16,2023.06.03,F,3.8,53.96,6.49,6.31,11.72,11.29,8.82,5.31,5.39,,,,,,,56.2,26.2,15
Naxos,Melanes,wall,16,2023.06.03,F,4.9,61.47,6.46,5.17,12.68,10.34,7.83,5.44,5.11,,,,,,,58.1,24.9,24
Naxos,Melanes,wall,16,2023.06.03,F,5.1,63.24,7.17,5.15,13.76,12.07,8.72,6.05,5.85,,,,,,,58,25.1,20
Naxos,Melanes,wall,16,2023.06.03,F,5.4,63.46,6.65,4.97,13.21,13.05,8.4,5.71,5.84,29.1,20.482,28.72,45.82,1.805299221,2.134681619,62.5,25.3,19
Naxos,Melanes,wall,16,2023.06.05,F,3.4,56.2,5.83,4.6,11.89,10.06,7.82,4.64,5.9,28.9,19.56,28.8,41.65,1.648629809,2.30966505,65.1,25.6,36
Naxos,Melanes,wall,16,2023.06.05,F,5.3,60.43,6.51,5.85,12.6,10.79,8.06,6.03,6.24,,,,,,,63.6,26.3,21
Naxos,Melanes,wall,16,2023.06.05,F,4.1,60.63,6.3,3.58,12.45,11.46,8.14,5.76,5.28,28.9,19.412,28.9,40.62,1.617200708,2.364091039,61.3,26,25
Naxos,Melanes,wall,16,2023.05.31,F,7.5,72.07,6.99,6.13,14.49,14.28,10.84,6.54,6.29,28.5,24.772,28.92,46.76,1.863809215,2.122095864,64.6,24.8,10
Naxos,Melanes,wall,16,2023.05.31,F,7.5,66.46,5.78,5.3,11.73,14.64,9.37,5.99,5.45,29.3,19.572,29.02,43.26,1.734311454,2.27473028,62.7,25.2,43
Naxos,Melanes,wall,16,2023.05.29,M,4,57.49,6.54,5.74,13.36,12.53,8.36,5.93,6.48,,,,,,,67.1,24.5,37
Naxos,Melanes,wall,16,2023.05.29,M,6.7,66.19,9.07,7.22,16.63,13.54,10.46,6.96,8.55,,,,,,,65.8,24.4,27
Naxos,Melanes,wall,16,2023.05.29,M,6.3,62.08,8.3,6.96,15.3,12.91,10.7,6.49,8.08,,,,,,,70.1,24.5,14
Naxos,Melanes,wall,16,2023.05.29,M,7.5,65.9,8.42,6.28,15.9,12.3,9.91,7.43,6.96,,,,,,,66.4,24.2,0
Naxos,Melanes,wall,16,2023.06.03,M,6.2,61.89,7.32,7.06,15.15,14.2,9.68,6.56,6.71,,,,,,,63.2,24.9,25
Naxos,Melanes,wall,16,2023.06.03,M,7.3,65.55,9.16,8.67,15.91,11,9.49,8.11,8.77,29.5,19,28.675,44.975,1.767387843,2.16232387,65.6,25.3,32
Naxos,Melanes,wall,16,2023.06.03,M,5.9,60,7.65,6.77,14.03,12.85,8.92,6.79,7.55,29.9,19.128,29.3,43.62,1.777274431,2.297174058,64,25.2,10
Naxos,Melanes,wall,16,2023.06.03,M,6.6,60.47,7.83,6.32,14.6,12.92,9.79,6.63,6.68,28.1,23.59666667,29,42.8,1.713885364,2.290519693,66.9,25.8,0
Naxos,Melanes,wall,16,2023.06.03,M,6.6,62.22,8.15,6.11,15.64,13.78,9.99,7.05,7.64,,,,,,,67.3,26,0
Naxos,Melanes,wall,16,2023.06.03,M,8.8,65.89,8.57,7.15,15.83,14.85,10.44,6.18,7.2,29.7,21.4625,29.3,44.3,1.804980681,2.269467809,70.6,25.4,0
Naxos,Melanes,wall,16,2023.06.03,M,6.6,62.18,7.75,6.06,14.58,13.02,9.83,6.7,6.47,,,,,,,69.1,25.5,20
Naxos,Melanes,wall,16,2023.06.05,M,6.5,64.88,8.23,6.39,15.17,12.21,9.89,5.78,7.04,30.6,21.538,29.04,40.48,1.624738915,2.388944175,68.8,25,4
Naxos,Melanes,wall,16,2023.06.05,M,5.5,61.46,7.59,7.5,15.29,12.44,9.58,6.54,7.49,29.2,21,29,40.5,1.621784048,2.382621009,67.2,25.7,29
Naxos,Melanes,wall,16,2023.06.05,M,5.1,58.49,8.14,7.42,15.14,13.45,9.63,6.25,8.24,,,,,,,60.2,24.6,7
Naxos,Melanes,wall,16,2023.06.05,M,7.1,62.66,8.28,7.78,15.5,13.86,10.17,6.82,8.75,30.8,23.55666667,28.76666667,44.45,1.756066154,2.194588861,68.3,24.9,49
Naxos,Melanes,wall,16,2023.06.05,M,5,55.65,6.94,6.01,13.99,10.27,9.05,6.48,6.66,,,,,,,61.9,26.1,13
Naxos,Melanes,wall,16,2023.06.05,M,5.2,59.08,8.4,5.86,14.17,12.32,8.98,5.81,7.33,,,,,,,72.5,25.6,42
Naxos,Melanes,wall,16,2023.05.31,M,7.8,62.74,9.6,8.14,14.44,14.52,10.26,7.07,6.98,28.8,19.11,28.5,45.05,1.752444004,2.137553785,69.5,25.2,0
Naxos,Melanes,wall,16,2023.05.31,M,7.2,65.18,8.82,8,15.06,14.36,10.03,7.92,7.15,29.6,19.562,28.72,43,1.694191761,2.245789078,70.6,25.6,21
Naxos,Melanes,wall,16,2023.05.31,M,7.4,61.5,8.04,7.11,14.71,15.12,10.33,6.56,6.44,29.5,20.956,28.36,45.54,1.757151404,2.101327744,68.2,24.8,0
Naxos,Melanes,wall,16,2023.05.31,M,9,66.62,10.51,8.02,15.95,15.01,10.46,5.55,5.39,27.2,20.072,28.92,46.34,1.847068414,2.138836666,69.3,27.3,27
Naxos,Melanes,wall,16,2023.05.31,M,8.4,67.5,10.72,7.72,14.57,14.4,11.1,5.82,5.67,28.9,25.91666667,28.83333333,46.16666667,1.830945801,2.135001782,68.8,26.4,18
Naxos,Melanes,wall,16,2023.05.31,M,7.9,64.71,9.23,6.39,13.98,13.89,9.89,5.17,5.03,28.3,20.4275,29,43.55,1.743918402,2.260486655,65,26.1,8
Naxos,Melanes,wall,16,2023.05.31,M,7.7,65.91,10.06,8.22,14.1,14.45,10.99,6.13,5.99,29.3,24.3025,28.95,42.9,1.712925708,2.27990811,66.1,25.8,45
Naxos,Melanes,wall,16,2023.05.31,M,7.6,67.55,9.15,8.04,14.05,15.06,9.97,6.09,5.94,29.1,19.49333333,28.43333333,45.76666667,1.773440492,2.101520525,62.8,25.6,12
Naxos,Melanes,wall,16,2023.05.31,M,7.1,61.74,8.52,7.5,13.98,14.22,10.55,6.49,6.37,27.3,21.86666667,29,44.48333333,1.78129285,2.223112208,70.3,26.3,0
Naxos,Melanes,wall,16,2023.05.31,M,7.5,68.05,10.06,8.16,14.22,15.21,9.46,6.36,6.12,30.1,22.6525,29.175,43.15,1.745475746,2.299659238,69.3,25.2,10
Naxos,Melanes,wall,16,2023.05.31,M,7.5,65.1,10.01,7.03,14.26,13.79,9.47,6.24,6.13,28.5,20.25,29.5,44.7,1.842415707,2.279319655,64.7,24.7,52
Naxos,Melanes,wall,16,2023.05.31,M,7.7,67.86,7.97,6.8,13.5,15.49,10.2,6.11,5.84,28.5,20.25,29.5,44.7,1.842415707,2.279319655,71.2,25.3,22
Naxos,Moni,wall,22,2023.05.30,F,3.6,57.3,6.8,4.83,11.89,10.46,7.89,5.23,6.14,,,,,,,57.7,25.5,26
Naxos,Moni,wall,22,2023.05.30,F,4.8,66.24,7.25,5.98,13.66,11.18,9.18,7.23,6.68,,,,,,,56.5,25.3,21
Naxos,Moni,wall,22,2023.05.31,F,6.5,64.39,7.17,7.52,13.69,10.4,9.47,5.24,6.71,,,,,,,57.9,26.6,4
Naxos,Moni,wall,22,2023.05.30,M,6.1,59.41,8.9,5.78,15.77,13.18,9.59,7.84,7.52,,,,,,,60.4,25.1,26
Naxos,Moni,wall,22,2023.05.30,M,5.6,60.45,7.89,6.32,14.88,12.91,9.18,6.29,7.38,,,,,,,62.6,25.4,12
Naxos,Moni,wall,22,2023.05.30,M,6.5,63.64,8.06,6.95,15.22,12.57,10.15,7.03,7.03,,,,,,,64.2,25.9,31
Naxos,Moni,wall,22,2023.05.30,M,6.4,62.48,9.72,6.72,15.29,14.45,10.08,6.07,6.23,,,,,,,63.8,25.7,6
Naxos,Moni,wall,22,2023.05.30,M,5.6,59.39,8.47,6.79,15.04,11.22,9.6,6.63,6.73,,,,,,,63.9,24.8,61
Naxos,Moni,wall,22,2023.05.31,M,NA,63.79,8.17,6.88,15.78,14.02,10.82,7.98,9.03,,,,,,,63.1,23.9,17
Naxos,Moni,wall,22,2023.05.31,M,NA,68.64,10.01,6,17.37,12.7,11.77,7.27,8.54,,,,,,,62.8,24.6,15
Naxos,Moni,wall,22,2023.05.31,M,NA,66.68,8.11,6.82,15.37,12.86,10.79,5.83,7.96,,,,,,,65.6,24.8,10
Naxos,Moni,wall,22,2023.05.31,M,NA,65.73,8.51,7.26,15.59,13.24,10.07,7.26,7.61,,,,,,,64.4,25,0
Naxos,Moni,wall,22,2023.05.31,M,NA,65.53,10.41,7.61,15.94,14.63,10.52,6.31,8.42,,,,,,,60.9,25.1,30
Naxos,Moni,wall,22,2023.05.31,M,NA,69.81,8.68,6.39,16.36,15.44,10.77,6.99,8.72,,,,,,,58.6,24.9,5
Naxos,Moni,wall,22,2023.05.31,M,NA,63.53,8.32,8.32,15.28,12.85,10.47,6.63,7.74,,,,,,,60,25.3,14
Naxos,Moni,wall,22,2023.05.31,M,NA,69.21,9.2,7.7,16.57,17.45,11.42,7.29,7.97,,,,,,,65.2,23.6,0
Naxos,Moni,wall,22,2023.05.31,M,NA,69.1,7.99,7.44,16.2,14.69,10.65,6.21,7.85,,,,,,,60.3,23.8,52
Naxos,Moni,wall,22,2023.05.31,M,NA,67.01,8.4,6.16,15.9,12.81,10.26,6.18,7.42,,,,,,,62.5,24,60
Naxos,Moni,wall,22,2023.05.31,M,NA,66.67,9.24,7.34,15.32,13.09,10.78,5.55,6.99,,,,,,,61.1,23.9,29
Naxos,Moni,wall,22,2023.05.31,M,6.6,63.15,8.26,6.05,15.13,13.78,10.15,7.22,8.1,,,,,,,64.9,24.5,10
Naxos,Moni,wall,22,2023.05.31,M,8.7,71.66,8.94,8.14,17.5,11.41,10.8,6.22,8.66,,,,,,,62.2,24.2,40
Naxos,Moni,wall,22,2023.05.31,M,6.6,60.7,7.56,6.34,15.09,13.99,10.04,6.41,8.04,,,,,,,64.4,23.8,32
Naxos,Moni,wall,22,2023.05.31,M,6.7,63.78,8.63,6.16,14.62,14.43,10.34,6.38,8.68,,,,,,,60.2,24.1,39
Naxos,Moni,wall,22,2023.05.31,M,7.8,67.26,8.43,8.3,15.64,12.46,10.34,7,7.41,,,,,,,66.4,24.5,7
Naxos,Moni,wall,22,2023.05.31,M,7.9,65.13,8.04,7.86,15.13,12.98,10.38,6.97,7.62,,,,,,,60,24.4,44
Naxos,Moni,wall,22,2023.05.31,M,8.7,70.3,8.57,7.44,16.13,15.06,10.95,6.68,8.33,,,,,,,70.2,24,25
Naxos,Moni,wall,22,2023.05.31,M,9.1,72.41,9.57,5.83,16.35,14.81,7.41,7.35,8.26,,,,,,,67.2,24,65
Naxos,Moni,wall,22,2023.05.31,M,8,66.11,9.26,8.57,15.28,12.41,9.67,6.86,8.55,,,,,,,64.3,24.3,11
Naxos,Moni,wall,22,2023.05.31,M,7.4,65.41,8.68,7.01,14.96,14.15,10.61,6.23,6.75,,,,,,,62,24.2,59
Naxos,Moni,wall,22,2023.05.31,M,8.1,66.32,8.99,6.02,15.96,14.5,10.15,6.53,7.49,,,,,,,62.7,24.5,38
Naxos,Moni,wall,22,2023.05.31,M,5.6,60.02,7.76,6.42,14.44,11.47,9.96,6.3,7.55,,,,,,,68.1,24.3,5
Naxos,Moni,wall,22,2023.05.31,M,6.7,62.57,9.52,6.86,15.78,12.32,10.31,6.46,8.26,,,,,,,63.8,24.8,34
Naxos,Moni,wall,22,2023.05.31,M,6.1,61.4,7.3,6.47,14.96,12.87,10.19,6.87,6.29,,,,,,,62.5,24.8,61
Naxos,Moni,wall,22,2023.05.31,M,7.9,69.37,8.7,7.73,16.71,13.47,10.87,7.05,8.49,,,,,,,60,24.7,25
Naxos,Moni,wall,22,2023.05.22,M,8.3,67.62,8,7.28,16.47,15.3,11.38,7.4,7.82,28,20.995,27.725,45.55,1.693685401,2.024614052,59.9,24.9,10
Naxos,Moni,wall,22,2023.05.22,M,9.4,69.62,7.09,8.17,16.69,14.81,11.4,8.19,8.01,27.9,20.32666667,28.3,42.23333333,1.623888348,2.221151151,70.2,24.3,44
Naxos,Moni,wall,22,2023.05.22,M,7.7,66.14,6.22,7.76,15.76,13.3,11.88,7.01,6.97,28.5,22.13,28.2,42,1.605546943,2.217183874,61.7,24.6,25
Naxos,Moni,wall,22,2023.05.22,M,7.9,65.34,7.78,7.49,16.45,14,11.19,6.85,6.77,28.1,26.55142857,28.05714286,43.57142857,1.651817765,2.1392394,65.5,24.1,39
Naxos,Moni,wall,22,2023.05.22,M,8.5,68.45,9.48,8.03,16.99,15.63,10.69,8.24,7.66,27.7,21.1775,28.125,42.775,1.628047934,2.178025552,60.3,24,50
Naxos,Moni,wall,22,2023.05.22,M,7.8,65.5,10.17,8,16.15,13.04,10.8,6.82,7,28.3,20.57,28.26666667,41.2,1.581087363,2.256503324,67.7,24.2,5
Naxos,Moni,wall,22,2023.05.22,M,7.4,63.2,10.46,8.89,16.25,13.29,11.64,6.81,7.25,27.9,20.1125,28.125,41.4,1.575714423,2.230359063,62.2,24.2,72
Naxos,Moni,wall,22,2023.05.22,M,7.3,61.8,6.47,7.61,14.45,14.32,10.42,6.89,7.23,28.8,21.195,28.2,41.55,1.588344655,2.234386163,62.8,24.6,8
